***** Bayesian optimization *****
Parameters settings:
[{'name': 'dropout', 'type': 'continuous', 'domain': (0.0, 0.9), 'domain_v': None, 'dimensionality': 1, 'cast': <class 'float'>}, {'name': 'kernel_reg', 'type': 'continuous', 'domain': (0.0, 0.02), 'domain_v': None, 'dimensionality': 1, 'cast': <class 'float'>}, {'name': 'bias_reg', 'type': 'continuous', 'domain': (0.0, 0.02), 'domain_v': None, 'dimensionality': 1, 'cast': <class 'float'>}, {'name': 'batch_norm', 'type': 'categorical', 'domain': (0, 1), 'domain_v': (True, False), 'dimensionality': 1, 'cast': None}, {'name': 'batch_size', 'type': 'discrete', 'domain': (64, 128, 256), 'domain_v': None, 'dimensionality': 1, 'cast': <class 'int'>}]
*********************************
Best score: 0.6201649425265502
Best params: {'dropout': 0.1846992946549152, 'kernel_reg': 0.0, 'bias_reg': 0.02, 'batch_norm': True, 'batch_size': 64}
*********************************

Runs:
0.7764587657601439: {'dropout': 0.04912906958592783, 'kernel_reg': 0.005707323824800903, 'bias_reg': 0.007573918116559198, 'batch_norm': False, 'batch_size': 256}
0.9619615914992339: {'dropout': 0.4083156043551244, 'kernel_reg': 0.01443242631371555, 'bias_reg': 0.0189942464371696, 'batch_norm': True, 'batch_size': 128}
1.0289350386776113: {'dropout': 0.7196711794779579, 'kernel_reg': 0.0032031820950444213, 'bias_reg': 0.003758127357931411, 'batch_norm': True, 'batch_size': 64}
0.809083451321226: {'dropout': 0.20972152077153353, 'kernel_reg': 0.003964733545860217, 'bias_reg': 0.00995049656611244, 'batch_norm': True, 'batch_size': 128}
0.9381731970799126: {'dropout': 0.35592023717745197, 'kernel_reg': 0.010301458360055436, 'bias_reg': 0.0013833157664085106, 'batch_norm': False, 'batch_size': 128}
0.8014149055559927: {'dropout': 0.043375638804813585, 'kernel_reg': 0.008202149639650038, 'bias_reg': 0.017877069393100888, 'batch_norm': False, 'batch_size': 256}
0.6619241749259013: {'dropout': 0.07987132172104762, 'kernel_reg': 0.0, 'bias_reg': 0.0, 'batch_norm': False, 'batch_size': 256}
0.6518126720692318: {'dropout': 0.10931196592614689, 'kernel_reg': 0.0, 'bias_reg': 0.0, 'batch_norm': False, 'batch_size': 256}
0.8813157079978159: {'dropout': 0.09897130029029959, 'kernel_reg': 0.02, 'bias_reg': 0.0, 'batch_norm': False, 'batch_size': 256}
0.6541580521183599: {'dropout': 0.09584340821288065, 'kernel_reg': 0.0, 'bias_reg': 0.0008621886968245934, 'batch_norm': False, 'batch_size': 256}
0.659836529367329: {'dropout': 0.11026763512515601, 'kernel_reg': 0.0, 'bias_reg': 0.02, 'batch_norm': False, 'batch_size': 256}
0.662124101516391: {'dropout': 0.15582019224036855, 'kernel_reg': 0.0, 'bias_reg': 0.012060966710203352, 'batch_norm': False, 'batch_size': 256}
0.658081317755053: {'dropout': 0.22572351807151803, 'kernel_reg': 0.0, 'bias_reg': 0.0, 'batch_norm': False, 'batch_size': 256}
0.649100085507935: {'dropout': 0.28976878019560076, 'kernel_reg': 0.0, 'bias_reg': 0.02, 'batch_norm': False, 'batch_size': 256}
